Angle,Radians,Calc Sin,Math.h Sin,Calc Cos,Math.h Cos,Calc Tan,Math.h Tan
0,0,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
30,.5235987755,0.4999999999,0.4999999999,0.8660254038,0.8660254038,0.5773502691,0.5773502691
45,.7853981633,0.7071067811,0.7071067811,0.7071067813,0.7071067813,0.9999999998,0.9999999998
60,1.0471975510,0.8660254037,0.8660254037,0.5000000002,0.5000000002,1.7320508068,1.7320508068
90,1.5707963266,1.0000000000,1.0000000000,0.0000000002,0.0000000002,5130922917.6416320801,5130925713.9230089188
120,2.0943951021,0.8660254039,0.8660254039,-0.4999999997,-0.4999999997,-1.7320508087,-1.7320508087
135,2.3561944899,0.7071067814,0.7071067814,-0.7071067810,-0.7071067810,-1.0000000006,-1.0000000006
150,2.6179938776,0.5000000003,0.5000000003,-0.8660254036,-0.8660254036,-0.5773502697,-0.5773502697
180,3.1415926532,0.0000000004,0.0000000004,-1.0000000000,-1.0000000000,-0.0000000004,-0.0000000004
210,3.6651914287,-0.4999999996,-0.4999999996,-0.8660254040,-0.8660254040,0.5773502685,0.5773502685
225,3.9269908165,-0.7071067808,-0.7071067808,-0.7071067815,-0.7071067815,0.9999999990,0.9999999990
240,4.1887902042,-0.8660254035,-0.8660254035,-0.5000000005,-0.5000000005,1.7320508052,1.7320508052
270,4.7123889798,-1.0000000000,-1.0000000000,-0.0000000006,-0.0000000006,1710307536.1591391563,1710308571.3076696396
300,5.2359877553,-0.8660254041,-0.8660254041,0.4999999994,0.4999999994,-1.7320508103,-1.7320508103
315,5.4977871431,-0.7071067817,-0.7071067817,0.7071067807,0.7071067807,-1.0000000014,-1.0000000014
330,5.7595865308,-0.5000000007,-0.5000000007,0.8660254034,0.8660254034,-0.5773502702,-0.5773502702
360,6.2831853064,-0.0000000008,-0.0000000008,1.0000000000,1.0000000000,-0.0000000008,-0.0000000008
